Ticks;offsetTime;GPSLong;GPSLat;GPSDate;GPSTime;GPSheightMSL;GPShDOP;GPSpDOP;GPSsAcc;GPSnumGPS;GPSnumGLNAS;GPSnumSV
187888600;.000;89.378.919;557.546.164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16
188077816;.042;89.378.919;557.546.164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16
188343467;.101;89.378.919;557.546.164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16
188577868;.153;89.378.919;557.546.164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16
188769682;.196;89.378.919;557.546.164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16
189027798;.253;89.378.919;557.546.164;20181122;100541;40.576;0,05;01:36;11:04;9;7;16
189242889;.301;89.378.919;557.546.164;20181122;100541;40.576;0,05;01:36;11:04;9;7;16
189477842;.353;89.378.919;557.546.164;20181122;100541;40.576;0,05;01:36;11:04;9;7;16
189669718;.396;89.378.919;557.546.164;20181122;100541;40.576;0,05;01:36;11:04;9;7;16
189910699;.449;89.378.921;557.546.165;20181122;100541;40.568;0,05;01:36;11:38;9;7;16
190142942;.501;89.378.921;557.546.165;20181122;100541;40.568;0,05;01:36;11:38;9;7;16
190377835;.553;89.378.921;557.546.165;20181122;100541;40.568;0,05;01:36;11:38;9;7;16
190569737;.596;89.378.921;557.546.165;20181122;100541;40.568;0,05;01:36;11:38;9;7;16
190827798;.653;89.378.922;557.546.165;20181122;100542;40.567;0,05;01:36;11:36;9;7;16
191052792;.703;89.378.922;557.546.165;20181122;100542;40.567;0,05;01:36;11:36;9;7;16
191277814;.753;89.378.922;557.546.165;20181122;100542;40.567;0,05;01:36;11:36;9;7;16
191458483;.793;89.378.923;557.546.165;20181122;100542;40.548;0,05;01:36;11:34;9;7;16
191727853;.853;89.378.923;557.546.165;20181122;100542;40.548;0,05;01:36;11:34;9;7;16
191952813;.903;89.378.923;557.546.165;20181122;100542;40.548;0,05;01:36;11:34;9;7;16
192177781;.953;89.378.923;557.546.165;20181122;100542;40.548;0,05;01:36;11:34;9;7;16
192369688;.996;89.378.924;557.546.165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16
192601849;1.047;89.378.924;557.546.165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16
192852797;1.103;89.378.924;557.546.165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16
193077858;1.153;89.378.924;557.546.165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16
193269670;1.196;89.378.924;557.546.165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16
193527841;1.253;89.378.925;557.546.164;20181122;100542;40.533;0,05;01:36;11:31;9;7;16
193752829;1.303;89.378.925;557.546.164;20181122;100542;40.533;0,05;01:36;11:31;9;7;16
193977831;1.353;89.378.925;557.546.164;20181122;100542;40.533;0,05;01:36;11:31;9;7;16
194169698;1.396;89.378.925;557.546.164;20181122;100542;40.533;0,05;01:36;11:31;9;7;16
194427796;1.453;89.378.927;557.546.164;20181122;100542;40.524;0,05;01:36;11:29;9;7;16
194652809;1.503;89.378.927;557.546.164;20181122;100542;40.524;0,05;01:36;11:29;9;7;16
194878045;1.553;89.378.927;557.546.164;20181122;100542;40.524;0,05;01:36;11:29;9;7;16
195069961;1.596;89.378.927;557.546.164;20181122;100542;40.524;0,05;01:36;11:29;9;7;16
195328060;1.653;89.378.928;557.546.164;20181122;100543;40:52:00;0,05;01:36;11:27;9;7;16
195553063;1.703;89.378.928;557.546.164;20181122;100543;40:52:00;0,05;01:36;11:27;9;7;16
195778077;1.753;89.378.928;557.546.164;20181122;100543;40:52:00;0,05;01:36;11:27;9;7;16
195969958;1.796;89.378.928;557.546.164;20181122;100543;40:52:00;0,05;01:36;11:27;9;7;16
196228082;1.853;89.378.929;557.546.164;20181122;100543;40.503;0,05;01:36;11:25;9;7;16
196453029;1.903;89.378.929;557.546.164;20181122;100543;40.503;0,05;01:36;11:25;9;7;16
196646117;1.946;89.378.929;557.546.164;20181122;100543;40.503;0,05;01:36;11:25;9;7;16
196869997;1.996;89.378.929;557.546.164;20181122;100543;40.503;0,05;01:36;11:25;9;7;16
197128077;2.053;89.378.930;557.546.164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16
197353043;2.103;89.378.930;557.546.164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16
197546408;2.146;89.378.930;557.546.164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16
197769952;2.196;89.378.930;557.546.164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16
198028062;2.253;89.378.932;557.546.163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16
198253012;2.303;89.378.932;557.546.163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16
198478075;2.353;89.378.932;557.546.163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16
198670000;2.396;89.378.932;557.546.163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16
198871598;2.441;89.378.932;557.546.163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16
199099151;2.491;89.378.932;557.546.163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16
199378083;2.553;89.378.932;557.546.163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16
199541226;2.589;89.378.932;557.546.163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16
199828034;2.653;89.378.933;557.546.162;20181122;100544;40:45:00;0,05;01:36;11:17;9;7;16
200053093;2.703;89.378.933;557.546.162;20181122;100544;40:45:00;0,05;01:36;11:17;9;7;16
200248540;2.747;89.378.933;557.546.162;20181122;100544;40:45:00;0,05;01:36;11:17;9;7;16
200470529;2.796;89.378.933;557.546.162;20181122;100544;40:45:00;0,05;01:36;11:17;9;7;16
200728027;2.853;89.378.934;557.546.164;20181122;100544;40.522;0,05;01:36;11:14;9;7;16
200880294;2.887;89.378.934;557.546.164;20181122;100544;40.522;0,05;01:36;11:14;9;7;16
201178007;2.953;89.378.934;557.546.164;20181122;100544;40.522;0,05;01:36;11:14;9;7;16
201336338;2.988;89.378.929;557.546.164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14
201628100;3.053;89.378.929;557.546.164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14
201780296;3.087;89.378.929;557.546.164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14
202026982;3.142;89.378.929;557.546.164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14
202183535;3.177;89.378.929;557.546.164;20181122;100544;40.69;0,05625;0,085416667;11:12;9;5;14
202528061;3.253;89.378.920;557.546.165;20181122;100544;40.932;0,05625;0,085416667;11:09;9;5;14
202753096;3.303;89.378.920;557.546.165;20181122;100544;40.932;0,05625;0,085416667;11:09;9;5;14
202978110;3.353;89.378.920;557.546.165;20181122;100544;40.932;0,05625;0,085416667;11:09;9;5;14
203170592;3.396;89.378.920;557.546.165;20181122;100544;40.932;0,05625;0,085416667;11:09;9;5;14
203400177;3.447;89.378.917;557.546.169;20181122;100545;41.285;0,057638889;01:54;11:07;9;5;14
203653025;3.503;89.378.917;557.546.169;20181122;100545;41.285;0,057638889;01:54;11:07;9;5;14
203878047;3.553;89.378.917;557.546.169;20181122;100545;41.285;0,057638889;01:54;11:07;9;5;14
204070599;3.596;89.378.917;557.546.169;20181122;100545;41.285;0,057638889;01:54;11:07;9;5;14
204271550;3.641;89.378.920;557.546.171;20181122;100545;41.687;0,049305556;01:31;11:04;10;6;16
204499241;3.691;89.378.920;557.546.171;20181122;100545;41.687;0,049305556;01:31;11:04;10;6;16
204778114;3.753;89.378.920;557.546.171;20181122;100545;41.687;0,049305556;01:31;11:04;10;6;16
204929918;3.787;89.378.920;557.546.171;20181122;100545;41.687;0,049305556;01:31;11:04;10;6;16
205228048;3.853;89.378.919;557.546.171;20181122;100545;42.083;0,046527778;01:02;0,484722222;11;6;17
205378619;3.887;89.378.919;557.546.171;20181122;100545;42.083;0,046527778;01:02;0,484722222;11;6;17
205678098;3.953;89.378.919;557.546.171;20181122;100545;42.083;0,046527778;01:02;0,484722222;11;6;17
205830615;3.987;89.378.919;557.546.171;20181122;100545;42.083;0,046527778;01:02;0,484722222;11;6;17
206128035;4.053;89.378.914;557.546.173;20181122;100545;42.427;0,045138889;01:17;10:09;11;7;18
206353046;4.103;89.378.914;557.546.173;20181122;100545;42.427;0,045138889;01:17;10:09;11;7;18
206578058;4.153;89.378.914;557.546.173;20181122;100545;42.427;0,045138889;01:17;10:09;11;7;18
206770502;4.196;89.378.914;557.546.173;20181122;100545;42.427;0,045138889;01:17;10:09;11;7;18
207000425;4.247;89.378.914;557.546.178;20181122;100545;42.509;0,045138889;01:17;0,474305556;11;7;18
207253115;4.303;89.378.914;557.546.178;20181122;100545;42.509;0,045138889;01:17;0,474305556;11;7;18
207450424;4.347;89.378.914;557.546.178;20181122;100545;42.509;0,045138889;01:17;0,474305556;11;7;18
207619687;4.385;89.378.914;557.546.178;20181122;100545;42.509;0,045138889;01:17;0,474305556;11;7;18
207820837;4.429;89.378.916;557.546.181;20181122;100545;42:56:00;0,045138889;01:17;0,470833333;11;7;18
208153053;4.503;89.378.916;557.546.181;20181122;100545;42:56:00;0,045138889;01:17;0,470833333;11;7;18
208378084;4.553;89.378.916;557.546.181;20181122;100545;42:56:00;0,045138889;01:17;0,470833333;11;7;18
208530978;4.587;89.378.916;557.546.181;20181122;100545;42:56:00;0,045138889;01:17;0,470833333;11;7;18
