Ticks;offsetTime;GPSLong;GPSLat;GPSDate;GPSTime;GPSheightMSL;GPShDOP;GPSpDOP;GPSsAcc;GPSnumGPS;GPSnumGLNAS;GPSnumSV;GPS-Koord
187888600;.000;8.9378919;55.7546164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16;8.9378919,55.7546164
188077816;.042;8.9378919;55.7546164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16;8.9378919,55.7546164
188343467;.101;8.9378919;55.7546164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16;8.9378919,55.7546164
188577868;.153;8.9378919;55.7546164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16;8.9378919,55.7546164
188769682;.196;8.9378919;55.7546164;20181122;100541;40.589;0,05;01:36;11:42;9;7;16;8.9378919,55.7546164
189027798;.253;8.9378919;55.7546164;20181122;100541;40.576;0,05;01:36;11:04;9;7;16;8.9378919,55.7546164
189242889;.301;8.9378919;55.7546164;20181122;100541;40.576;0,05;01:36;11:04;9;7;16;8.9378919,55.7546164
189477842;.353;8.9378919;55.7546164;20181122;100541;40.576;0,05;01:36;11:04;9;7;16;8.9378919,55.7546164
189669718;.396;8.9378919;55.7546164;20181122;100541;40.576;0,05;01:36;11:04;9;7;16;8.9378919,55.7546164
189910699;.449;8.9378921;55.7546165;20181122;100541;40.568;0,05;01:36;11:38;9;7;16;8.9378921,55.7546165
190142942;.501;8.9378921;55.7546165;20181122;100541;40.568;0,05;01:36;11:38;9;7;16;8.9378921,55.7546165
190377835;.553;8.9378921;55.7546165;20181122;100541;40.568;0,05;01:36;11:38;9;7;16;8.9378921,55.7546165
190569737;.596;8.9378921;55.7546165;20181122;100541;40.568;0,05;01:36;11:38;9;7;16;8.9378921,55.7546165
190827798;.653;8.9378922;55.7546165;20181122;100542;40.567;0,05;01:36;11:36;9;7;16;8.9378922,55.7546165
191052792;.703;8.9378922;55.7546165;20181122;100542;40.567;0,05;01:36;11:36;9;7;16;8.9378922,55.7546165
191277814;.753;8.9378922;55.7546165;20181122;100542;40.567;0,05;01:36;11:36;9;7;16;8.9378922,55.7546165
191458483;.793;8.9378923;55.7546165;20181122;100542;40.548;0,05;01:36;11:34;9;7;16;8.9378923,55.7546165
191727853;.853;8.9378923;55.7546165;20181122;100542;40.548;0,05;01:36;11:34;9;7;16;8.9378923,55.7546165
191952813;.903;8.9378923;55.7546165;20181122;100542;40.548;0,05;01:36;11:34;9;7;16;8.9378923,55.7546165
192177781;.953;8.9378923;55.7546165;20181122;100542;40.548;0,05;01:36;11:34;9;7;16;8.9378923,55.7546165
192369688;.996;8.9378924;55.7546165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16;8.9378924,55.7546165
192601849;1.047;8.9378924;55.7546165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16;8.9378924,55.7546165
192852797;1.103;8.9378924;55.7546165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16;8.9378924,55.7546165
193077858;1.153;8.9378924;55.7546165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16;8.9378924,55.7546165
193269670;1.196;8.9378924;55.7546165;20181122;100542;40.544;0,05;01:36;11:32;9;7;16;8.9378924,55.7546165
193527841;1.253;8.9378925;55.7546164;20181122;100542;40.533;0,05;01:36;11:31;9;7;16;8.9378925,55.7546164
193752829;1.303;8.9378925;55.7546164;20181122;100542;40.533;0,05;01:36;11:31;9;7;16;8.9378925,55.7546164
193977831;1.353;8.9378925;55.7546164;20181122;100542;40.533;0,05;01:36;11:31;9;7;16;8.9378925,55.7546164
194169698;1.396;8.9378925;55.7546164;20181122;100542;40.533;0,05;01:36;11:31;9;7;16;8.9378925,55.7546164
194427796;1.453;8.9378927;55.7546164;20181122;100542;40.524;0,05;01:36;11:29;9;7;16;8.9378927,55.7546164
194652809;1.503;8.9378927;55.7546164;20181122;100542;40.524;0,05;01:36;11:29;9;7;16;8.9378927,55.7546164
194878045;1.553;8.9378927;55.7546164;20181122;100542;40.524;0,05;01:36;11:29;9;7;16;8.9378927,55.7546164
195069961;1.596;8.9378927;55.7546164;20181122;100542;40.524;0,05;01:36;11:29;9;7;16;8.9378927,55.7546164
195328060;1.653;8.9378928;55.7546164;20181122;100543;40:52:00;0,05;01:36;11:27;9;7;16;8.9378928,55.7546164
195553063;1.703;8.9378928;55.7546164;20181122;100543;40:52:00;0,05;01:36;11:27;9;7;16;8.9378928,55.7546164
195778077;1.753;8.9378928;55.7546164;20181122;100543;40:52:00;0,05;01:36;11:27;9;7;16;8.9378928,55.7546164
195969958;1.796;8.9378928;55.7546164;20181122;100543;40:52:00;0,05;01:36;11:27;9;7;16;8.9378928,55.7546164
196228082;1.853;8.9378929;55.7546164;20181122;100543;40.503;0,05;01:36;11:25;9;7;16;8.9378929,55.7546164
196453029;1.903;8.9378929;55.7546164;20181122;100543;40.503;0,05;01:36;11:25;9;7;16;8.9378929,55.7546164
196646117;1.946;8.9378929;55.7546164;20181122;100543;40.503;0,05;01:36;11:25;9;7;16;8.9378929,55.7546164
196869997;1.996;8.9378929;55.7546164;20181122;100543;40.503;0,05;01:36;11:25;9;7;16;8.9378929,55.7546164
197128077;2.053;8.9378930;55.7546164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16;8.9378930,55.7546164
197353043;2.103;8.9378930;55.7546164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16;8.9378930,55.7546164
197546408;2.146;8.9378930;55.7546164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16;8.9378930,55.7546164
197769952;2.196;8.9378930;55.7546164;20181122;100543;40:49:00;0,05;01:36;11:22;9;7;16;8.9378930,55.7546164
198028062;2.253;8.9378932;55.7546163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16;8.9378932,55.7546163
198253012;2.303;8.9378932;55.7546163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16;8.9378932,55.7546163
198478075;2.353;8.9378932;55.7546163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16;8.9378932,55.7546163
198670000;2.396;8.9378932;55.7546163;20181122;100543;40.474;0,05;01:36;11:02;9;7;16;8.9378932,55.7546163
198871598;2.441;8.9378932;55.7546163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16;8.9378932,55.7546163
199099151;2.491;8.9378932;55.7546163;20181122;100543;40.461;0,05;01:36;11:19;9;7;16;8.9378932,55.7546163
